00008919,00005347
00008949,00002944
00007948,00001136
0000337:,00009261
00008298,0000231:
00006081,00006274
00002895,00005708
00009316,0000651:
0000513:,00003285
00005714,00009402
00002883,00008269
00005368,00005063
00002148,0000158:
00003099,00006102
00009263,00003995
00002007,00002241
00005278,0000257:
0000388:,00002857
0000188:,00001632
00006509,00007959
00009228,00009718
00009622,0000869:
00009272,00003649
00005684,00007775
00003631,00000956
00000504,00007734
0000362:,0000253:
00005334,00007304
00004087,00001659
00006055,00000458
00003204,00000476
00006713,0000816:
00001912,00009176
00008344,00003106
00007531,00006376
00005298,00008266
0000544:,00008071
0000886:,00002845
00002054,0000193:
00001826,00006937
00003754,00004374
00004831,00004216
00003207,00002862
00000198,00008223
00002865,0000470:
00002296,00005024
00002491,00007199
00004787,0000507:
00003857,00004989
00002806,00002312
00005587,00007344
0000994:,00006076
00002163,0000740:
00002309,00000708
0000576:,00009303
00003814,00002581
00009298,00007885
00006258,00000577
00002061,00004317
00004554,00001011
00004714,00002742
00006827,00003395
00004696,0000682:
00008402,00006997
00003087,00003889
00009429,00002131
00006562,00007375
00004683,00007498
0000995:,00009707
00008437,00003781
00003007,00009966
00006236,00003826
0000715:,0000996:
00002358,00007155
00009569,00005469
00006669,0000919:
00004307,00005048
00006863,00002509
00007518,00001073
0000824:,00007186
00007586,00005562
00009972,0000123:
00001043,00001708
00007464,0000119:
00008317,00004651
00001146,00005424
00005786,00009529
00008211,00002501
00002549,00003926
00006766,00005288
00004101,00001999
00009286,00008841
00007047,00007049
00003679,00000214
00007176,00006962
00007389,00009789
00006452,00007018
00006604,0000310:
00004217,00009991
00007459,0000694:
00002293,00009542
00002321,0000583:
0000803:,00004561
00007567,00007346
00000312,00007674
0000774:,00003806
00002474,00007775
00002209,00002833
00003686,0000821:
00003595,00002487
00003475,00006787
00009705,00007928
0000734:,00004158
00003951,00007214
00000907,00003356
00002667,00000831
00001818,00000059
00008984,00006863
00002608,00004888
00005768,00002208
00006355,00007111
00006669,00009352
00001364,0000932:
00007461,00005793
0000708:,00004764
0000246:,00005267
00007056,00003057
00002368,00006627
00008802,00009627
00009352,00002575
00008837,00002344
00006393,00005142
00004585,0000260:
00004148,00008772
00001433,00005095
00009441,00002329
00007695,00009612
00008285,00000367
00005612,00007321
0000864:,00009425
00008538,00006778
00000129,0000154:
00008085,00005138
00003102,00009403
00008871,00003047
00003813,00001434
00008786,00001409
00002946,0000905:
00002866,00007116
00002244,00001236
00000745,00001291
00005502,00002369
00003363,00009498
00007552,0000917:
00000266,00006216
00008857,00002808
0000102:,00008056
00005452,00002366
00008926,0000189:
00005232,00005467
00002282,00006241
00007334,00005684
00000565,00007174
00000332,00005953
0000330:,00006118
00001267,00001455
0000569:,00004789
00009435,00004725
00003028,00006868
00006309,00006207
00004631,00003232
00002177,00005994
00005542,00000476
00002055,00007705
00000794,00008279
00009095,00008296
00000106,00001764
00002751,00002983
00000659,00006542
00007294,00000661
00009944,00000592
00006505,00003745
00004715,00002792
00007384,00003625
00004829,00008674
00001028,00005073
00004684,00006068
00001784,00009426
00002595,00006047
00005719,0000038:
00004874,00005122
00002108,00007203
00009683,00009186
0000362:,00007798
00005649,00000657
00008022,00008818
0000530:,00000331
00002864,00006661
00004633,00005293
00005915,00007255
